ID,Code,Name
1,ITCM,IT Commodities
2,PSEC,Physical Security Products
3,LISP,LightSpeed ISP Solution
4,ICTS,Infrastracture Services
5,ISEC,Infrastracture Security Products
6,RTSG,Security Services
